"state_name","county_fips","county_name","val_acc_vacc","val_wearing_mask","votes_gop","votes_dem","total_votes","per_gop","per_dem","population","income"
"Florida","12127","Volusia County","70.1373907","83.7785614","173821","130575","307439","0.565383702","0.424718399","553284","53554"
"Georgia","13051","Chatham County","66.1033977","85.7242815","53232","78247","133408","0.399016551","0.586524047","289430","57122"
"Kentucky","21015","Boone County","67.5355639","87.1311622","44814","20901","66998","0.668885638","0.311964536","133581","78806"
"Maine","23001","Androscoggin County","62.2435251","88.3674925","29268","27617","58707","0.498543615","0.470420904","108277","58958"
"Michigan","26025","Calhoun County","66.7041436","93.9536966","36221","28877","66281","0.546476366","0.435675382","134159","50205"
"Minnesota","27145","Stearns County","70.2843142","87.290609","50959","31879","84835","0.60068368","0.375776507","161075","66449"
"Missouri","29189","St. Louis County","79.3931651","94.3138406","199493","328151","536446","0.371878996","0.611713015","994205","70161"
"Montana","30031","Gallatin County","66.6270473","85.053012","31696","37044","71507","0.443257303","0.518047184","114434","73731"
"New York","36103","Suffolk County","77.5850447","96.1784245","381253","381021","771541","0.494144835","0.493844138","1476601","105241"
"Ohio","39157","Tuscarawas County","63.1184941","90.604628","30458","12889","44015","0.691991367","0.292831989","91987","54150"
"Oregon","41011","Coos County","72.2849524","90.0410918","21829","14243","37075","0.588779501","0.384167229","64487","49504"
"Oregon","41043","Linn County","65.861434","89.6037748","43486","26512","72640","0.598650881","0.364977974","129749","61084"
"Pennsylvania","42101","Philadelphia County","75.2238643","95.4260381","132740","603790","741377","0.179045209","0.814416957","1584064","47598"
"South Carolina","45007","Anderson County","61.6781124","78.1027653","67565","27169","96093","0.703120935","0.282736516","202558","54496"
"Tennessee","47011","Bradley County","58.1652386","73.5430313","35204","9851","45865","0.767556961","0.214782514","108110","52534"
"Tennessee","47037","Davidson County","81.4285387","96.2838312","100218","199703","309658","0.32364092","0.644914712","694144","63846"
"Virginia","51550","Chesapeake city","74.452575","91.7351275","58180","66377","127108","0.457720993","0.52220946","244835","77361"
"Virginia","51770","Roanoke city","64.5375235","92.7693783","15607","26773","43323","0.360247444","0.617985827","99143","45534"
"California","6045","Mendocino County","75.8160933","92.9776634","13267","28782","43336","0.306142699","0.664159129","86749","52309"
"Connecticut","9015","Windham County","76.4664985","93.5897034","29141","26701","57077","0.510555916","0.467806647","116782","63309"
"Florida","12009","Brevard County","65.3344362","86.3084426","207883","148549","360764","0.57622989","0.41176226","601942","57582"
"Florida","12053","Hernando County","50.0469452","85.2526577","70412","37519","108922","0.646444245","0.344457502","193920","50705"
"Georgia","13135","Gwinnett County","66.4890651","91.4223909","166400","241994","414023","0.401910039","0.584494098","936250","72225"
"Louisiana","22063","Livingston Parish","51.3555508","73.0268196","54877","9249","65230","0.841284685","0.141790587","140789","63852"
"Montana","30111","Yellowstone County","67.7519167","80.5691466","50772","30679","83821","0.60571933","0.366006132","161300","61435"
"Nevada","32003","Clark County","67.5244729","95.2955897","430930","521852","972510","0.443111125","0.536603223","2266715","62131"
"New Jersey","34017","Hudson County","71.4682606","96.5648791","65698","181452","250458","0.262311445","0.724480751","672391","77738"
"New York","36075","Oswego County","72.896118","96.0915676","32138","21143","54491","0.589785469","0.388009029","117124","57640"
"Ohio","39103","Medina County","70.1701147","93.1590721","64598","39800","105825","0.610422868","0.376092606","179746","78540"
"Oregon","41019","Douglas County","64.9933946","87.2685846","43298","19160","64349","0.672862049","0.297751325","110980","48940"
"Pennsylvania","42069","Lackawanna County","71.1125102","91.8029664","52334","61991","115410","0.453461572","0.537137163","209674","53655"
"Pennsylvania","42097","Northumberland County","62.5341796","93.5143655","28952","12677","42283","0.684719627","0.299813164","90843","47967"
"South Carolina","45063","Lexington County","65.0387358","89.5484567","92817","49301","144568","0.642030048","0.34102291","298750","62059"
"Texas","48091","Comal County","67.0681344","84.5498692","62740","24826","88863","0.706030631","0.279373868","156209","87976"
"Texas","48339","Montgomery County","69.2319887","87.3956164","193382","74377","271451","0.712401133","0.273997885","607391","88833"
"Utah","49011","Davis County","78.2920248","93.9236237","104135","57411","169895","0.612937403","0.33792048","355481","87610"
"Virginia","51069","Frederick County","69.5185191","90.9669021","30558","17207","48703","0.627435682","0.353304725","89313","83672"
